t;x;y;z;vx;vy;vz;a;e;w;i;raan;nu
0;6650000;0;0;0;3552.19765922711;7093.57481144528;7000000;0.05;0;1.1065387457644;0;0
30;6645938.3442129;106544.231794324;212763.785406993;-270.745132033915;3550.02813435338;7089.22946683698;6999976.85153115;0.0499960221291452;0.00106498252417748;1.10653801762753;-1.94311221654847e-08;0.0347235299467295
60;6633759.12102552;212958.331148294;425266.928552891;-541.10741019952;3543.52346425484;7076.20127317335;6999907.55923597;0.0499841358064326;0.00211384767940115;1.10653583740833;-1.55301984719265e-07;0.0694588918182687
90;6613479.54785563;319112.399739019;637249.257276778;-810.704958651557;3532.69534714676;7054.51372006672;6999792.57863808;0.0499644820399663;0.00313066720610896;1.10653221764909;-5.23281013380766e-07;0.104217736649896
120;6585128.27155899;424877.006572558;848451.537796606;-1079.15785198207;3517.56323011185;7024.20585646036;6999632.66430567;0.0499372938673441;0.00409988935464339;1.10652717914907;-1.23750089286336e-06;0.139011355373756
150;6548745.29546289;530123.419405836;1058615.93938993;-1346.089076463;3498.15423461173;6985.33214086836;6999428.86296056;0.0499028934158998;0.00500652296143803;1.10652075080894;-2.40980781462315e-06;0.173850502865197
180;6504381.87779791;634723.833497857;1267486.49370518;-1611.1254746878;3474.50305304812;6937.96223341112;6999182.50396106;0.0498616878350989;0.00583631645300699;1.10651296941514;-4.14903102295345e-06;0.208745226964959
210;6452100.40210547;738551.596833607;1474809.54698121;-1873.89866835868;3446.65181720472;6882.18073131761;6998895.18728534;0.0498141641490805;0.0065759299975188;1.10650387936676;-6.56027902407671e-06;0.243704704226453
240;6391974.22035268;841481.430992268;1680334.20350986;-2134.04595420054;3414.64993961823;6818.08685000275;6998568.76917446;0.0497608830908973;0.00721309895988804;1.10649353234745;-9.74426848771177e-06;0.278737084202147
270;6324087.4696323;943389.64686591;1883812.7587453;-2391.21116826724;3378.55392913025;6745.79405223735;6998205.34562318;0.0497024719933979;0.0077367867523392;1.10648198694608;-1.37966914636294e-05;0.313849344148261
300;6248534.86346329;1044154.3544752;2085001.12054571;-2645.04551423721;3338.42718205768;6665.42962830183;6997807.23393186;0.0496396168247963;0.00813732511781888;1.10646930822987;-1.88076260614625e-05;0.349047156082885
330;6165421.45883346;1143655.66617439;2283659.21712417;-2895.20835166651;3294.33975058669;6577.13423035172;6997376.95255484;0.0495730534696144;0.0084065398494196;1.1064555672744;-2.48609952127867e-05;0.384334768168414
360;6074862.40024098;1241775.89258815;2479551.3903875;-3141.36794057369;3246.36809014131;6481.06136451613;6996917.19949755;0.0495035583676872;0.00853785994661922;1.10644084065527;-3.20340775541533e-05;0.419714902393292
390;5976982.64209392;1338399.73067746;2672446.77345075;-3383.20213916441;3194.59478760111;6377.37684449962;6996430.82952779;0.0494319386350281;0.0085264082499966;1.10642520990634;-4.03970738525062e-05;0.455188670489049
420;5871916.65091566;1433414.44338929;2862119.65123192;-3620.39905195894;3139.10827234327;6266.25821065945;6995920.83047454;0.0493590218002797;0.00836907169111644;1.10640876095002;-5.00127317471443e-05;0.49075550992559
450;5759808.08887948;1526710.03040545;3048349.80315238;-3852.65762605472;3080.00251216014;6147.89411868366;6995390.29889193;0.0492856452989225;0.00806454945263988;1.10639158350484;-6.09360309165914e-05;0.526413141671452
480;5640809.4802561;1618179.38956845;3230922.82709454;-4079.68819373285;3017.37669615593;6022.48370210059;6994842.41536466;0.0492126458740122;0.00761337756225935;1.10637377047605;-7.32139301056861e-05;0.562157551179355
510;5515081.86240503;1707718.46862547;3409630.44389581;-4301.21296009496;2951.33490675436;5890.2359129076;6994280.41972654;0.0491408490366457;0.00701792874671562;1.10635541733471;-8.6885176775657e-05;0.597982993756997
540;5382794.4229723;1795226.40699602;3584270.78178695;-4516.96643488812;2881.98578295463;5751.36884461703;6993707.58645477;0.0490710587412654;0.00628238674856937;1.10633662149085;-0.000101980179479154;0.633882025108881
570;5244124.12497613;1880605.66733251;3754648.64031144;-4726.69580813582;2809.4421769556;5606.10904198378;6993127.2004898;0.0490040474300057;0.00541269475409411;1.10631748166614;-0.000118520942423859;0.669845557391579
600;5099255.32146623;1963762.1567062;3920575.73338942;-4930.16126963572;2733.82080623089;5454.69080160259;6992542.53371496;0.0489405465963166;0.00441647808586367;1.10629809727134;-0.00013652106107586;0.705862940621927
630;4948379.36143472;2044605.33731252;4081870.91131364;-5127.13627280557;2655.2419030801;5297.35546744859;6991956.82231126;0.0488812380109151;0.0033029418648104;1.10627856779346;-0.000155985777082542;0.741922068728679
660;4791694.18863592;2123048.32664961;4238360.36158504;-5317.40774375327;2573.82886360723;5134.35072528492;6991373.24518189;0.0488267457426583;0.00208274492411154;1.10625899219757;-0.000176912090261902;0.778009508962804
